,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type
X272,29590,43732,29439,42022,27838.26795,41189.12886,30559.53362,38542.68792,272,tdfp_arima,29560.02323,41231.38645,32500.02891,38852.84202,272,tdfp_arima,29554.1193,41231.02915,32494.26926,38851.60389,272,tdfp_arima
X273,39149,50252,35808,46078,35562.31826,49961.48008,39860.09319,46756.45747,273,tdfp_arima,37761.79451,50012.73758,42391.16334,47132.70801,273,tdfp_arima,37755.42943,50012.35237,42384.9538,47131.37318,273,tdfp_arima
X274,39043,42909,40325,37210,38011.01871,40253.65801,38705.00392,40192.36199,274,tdfp_arima,39952.37474,40137.85132,40323.3279,40508.80447,274,tdfp_arima,39911.56714,40142.66656,40304.73483,40500.6804,274,tdfp_arima
X276,19681,24577,17637,23232,20008.57499,24323.25066,22350.04573,23579.50304,276,tdfp_arima,21246.07545,24348.20487,23769.24797,23769.24797,276,tdfp_arima,21244.12711,24348.08696,23767.34724,23768.83938,276,tdfp_arima
X278,40676,50075,35213,41249,34437.85386,46045.89115,36913.51218,42940.16467,278,tdfp_arima,36567.78366,46093.13149,39257.47782,43285.70539,278,tdfp_arima,36562.03033,46092.78331,39251.86508,43284.49884,278,tdfp_arima
X280,34025,41420,34665,39647,32327.59211,38054.52757,34400.11279,36245.16079,280,tdfp_arima,33629.5877,37772.08751,36119.06262,36119.06262,280,tdfp_arima,33626.24437,37772.91796,36115.25018,36119.40532,280,tdfp_arima
X281,35082,41065,29228,35315,30662.03569,36694.02939,32460.95932,34202.00095,281,tdfp_arima,31896.95089,36421.68692,34083.011,34083.011,281,tdfp_arima,31893.50972,36422.54167,34079.08698,34083.36373,281,tdfp_arima
X282,24803,30214,22314,23874,19966.82901,29011.94317,21737.91413,27373.42711,282,tdfp_arima,21201.74755,29041.70769,23118.24671,27593.70186,282,tdfp_arima,21200.34653,29041.62291,23116.87993,27593.40805,282,tdfp_arima
X285,29759,36833,31307,30347,27581.0475,34548.57317,28945.35974,33199.15892,285,tdfp_arima,29286.89408,34584.01794,30783.35685,33466.3135,285,tdfp_arima,29285.3611,34583.92517,30781.86134,33465.99201,285,tdfp_arima
X286,18199,26051,16453,24366,21120.86376,27099.15355,24074.65465,27173.57414,286,tdfp_arima,22427.15763,27126.95566,25603.36757,27392.24067,286,tdfp_arima,22423.06278,27126.70785,25599.37279,27391.38192,286,tdfp_arima
X289,32182,39524,31963,34480,32636.60405,38334.52914,33738.75023,37664.16417,289,tdfp_arima,33951.0451,38050.01091,35424.65224,37533.12924,289,tdfp_arima,33947.24582,38050.95461,35420.31986,37533.51868,289,tdfp_arima
X290,38528,47038,30506,40103,32522.55359,46747.01503,36415.08886,43684.24841,290,tdfp_arima,34534.02493,46794.97468,38727.40519,44035.7768,290,tdfp_arima,34529.05,46794.67361,38722.55182,44034.73349,290,tdfp_arima
X291,41529,53105,36768,49352,39378.10971,49889.41022,44276.10733,46650.85372,291,tdfp_arima,40964.06528,49519.13186,46488.55378,46488.55378,291,tdfp_arima,40954.85959,49521.41846,46478.05639,46489.49738,291,tdfp_arima
X292,15026,0,0,0,13296.12252,56583.4307,22073.66498,46836.29278,292,tdfp_arima,14118.46783,56641.48193,23475.31736,47213.18576,292,tdfp_arima,14113.53533,56641.18342,23470.50539,47212.15135,292,tdfp_arima
X293,32067,42323,28361,35935,30162.64945,38884.71547,33167.26518,36614.46066,293,tdfp_arima,31067.07688,40685.39206,33378.10508,38703.33029,293,tdfp_arima,31063.25535,40672.64955,33381.81503,38688.69731,293,tdfp_arima
X294,32618,41492,34683,39244,28770.70681,39402.90768,30533.73126,36987.95964,294,tdfp_arima,30550.13203,39443.33272,32472.58814,37285.6028,294,tdfp_arima,30546.36414,39443.10469,32468.91231,37284.81262,294,tdfp_arima
X295,31759,42242,32032,38669,27381.59958,37121.66044,28950.19383,34809.68158,295,tdfp_arima,29075.1106,37159.74505,30788.4979,35089.79608,295,tdfp_arima,29071.57825,37159.53128,30785.05186,35089.0553,295,tdfp_arima
X296,37253,45735,37508,44292,33349.90564,44143.04289,35539.91293,41863.39867,296,tdfp_arima,35412.54747,44188.33102,37796.65659,42200.27463,296,tdfp_arima,35406.85561,44187.98655,37791.10381,42199.08097,296,tdfp_arima
X297,35583,48594,36554,47852,31956.76399,45646.23355,34403.85679,42723.54437,297,tdfp_arima,33933.24209,45693.06386,36588.46219,43067.34195,297,tdfp_arima,33927.24817,45692.70112,36582.61473,43066.08494,297,tdfp_arima
X299,53554,61464,65976,59217,50236.41756,55641.61863,47822.45237,51831.27257,299,tdfp_arima,52259.69209,55228.64748,50212.10723,51650.94978,299,tdfp_arima,52255.21882,55229.75859,50207.00629,51651.4083,299,tdfp_arima
X300,39103,52669,42260,44420,39303.8512,48700.5175,41426.60932,47050.4846,300,tdfp_arima,41734.73567,48750.48133,44057.15144,47429.10119,300,tdfp_arima,41730.93514,48750.25132,44053.44378,47428.30417,300,tdfp_arima
X301,28944,37223,28934,30162,28714.0116,34815.87026,30018.5058,33345.26772,301,tdfp_arima,30489.93031,34851.58927,31924.64645,33613.59803,301,tdfp_arima,30486.62322,34851.38913,31921.42018,33612.9045,301,tdfp_arima
X302,19624,26495,19913,23907,20670.35335,22730.69065,21350.88159,22515.7308,302,tdfp_arima,21502.85299,22561.98384,22417.77037,22437.39779,302,tdfp_arima,21500.72508,22562.5124,22415.34388,22437.61591,302,tdfp_arima
X303,32460,41162,29634,38220,29977.59792,35137.84552,33073.74972,34893.10901,303,tdfp_arima,31831.66756,35173.89485,35173.89485,35173.89485,303,tdfp_arima,31821.61518,35173.28649,35164.08811,35171.78674,303,tdfp_arima
X304,35673,42044,34172,41056,33460.79377,45533.00207,35654.23618,43409.87432,304,tdfp_arima,35530.29387,45579.71622,37918.23924,43759.19481,304,tdfp_arima,35524.89919,45579.38974,37912.97639,43758.06348,304,tdfp_arima
X305,32007,43349,32166,35564,32039.74129,38922.91042,34973.99937,36950.74518,305,tdfp_arima,33000.45335,40725.35574,35196.32443,39058.79998,305,tdfp_arima,32997.16268,40714.38336,35199.51901,39046.19975,305,tdfp_arima
X307,13972,17990,12432,17849,11943.6679,18034.40972,13129.23694,16870.01879,307,tdfp_arima,12682.36591,18052.91195,13962.92841,17005.77231,307,tdfp_arima,12681.13751,18052.83761,13961.73003,17005.5147,307,tdfp_arima
X308,47107,59093,41533,50578,43476.38353,54768.74426,45359.60581,52822.31069,308,tdfp_arima,46165.33289,54824.93373,48239.88869,53247.37332,308,tdfp_arima,46146.80036,54823.81216,48221.80902,53243.48681,308,tdfp_arima
X309,34242,45832,30796,42704,32668.83979,45120.25848,35540.24752,42629.75193,309,tdfp_arima,33984.57914,44785.37668,37316.1691,42481.44154,309,tdfp_arima,33979.34649,44786.67642,37310.20223,42481.9779,309,tdfp_arima
X310,55508,68861,50655,62374,48012.98867,62470.64611,50805.72995,58910.0894,310,tdfp_arima,50982.52028,62534.73727,54031.83546,59384.14056,310,tdfp_arima,50971.35092,62534.06131,54020.93904,59381.79821,310,tdfp_arima
X311,36148,46164,36273,41554,33086.14078,43736.46594,35273.30082,41720.25224,311,tdfp_arima,35132.46915,43781.33695,37513.11492,42055.97629,311,tdfp_arima,35128.37062,43781.08891,37509.11654,42055.11678,311,tdfp_arima
X312,28458,38563,28762,33593,25879.99937,36569.14955,28082.88159,34471.46606,312,tdfp_arima,26922.3178,36297.73394,29486.16375,34351.53864,312,tdfp_arima,26918.86253,36298.59219,29482.22366,34351.89281,312,tdfp_arima
X313,37025,48100,33904,46419,32570.37778,46958.24274,35284.39274,44190.35482,313,tdfp_arima,33882.15157,46609.71946,37047.52943,44036.61505,313,tdfp_arima,33876.09018,46611.22505,37040.61754,44037.23635,313,tdfp_arima
X314,25560,32500,24087,31880,25786.08119,31081.00802,27261.32201,29956.19905,314,tdfp_arima,27380.91178,31112.89528,28992.38466,30197.25743,314,tdfp_arima,27378.09961,31112.72509,28989.6412,30196.66768,314,tdfp_arima
X315,24638,29994,23018,26533,21714.59452,27080.90442,22569.22656,25315.04946,315,tdfp_arima,23057.60974,27108.68781,24002.34653,25518.76038,315,tdfp_arima,23055.6827,27108.57119,24000.46658,25518.35625,315,tdfp_arima
X316,52009,67787,45563,57985,47000.16876,66522.5443,52566.12892,62261.7156,316,tdfp_arima,48893.10319,66028.8151,55192.82201,62045.10494,316,tdfp_arima,48883.27298,66031.25682,55181.61248,62046.11255,316,tdfp_arima
X318,41848,49281,37353,43969,38913.85447,45703.99341,41529.20859,43756.62523,318,tdfp_arima,40481.11214,45364.77914,43604.39441,43604.39441,318,tdfp_arima,40472.72679,45366.86198,43594.83248,43605.25393,318,tdfp_arima
X319,39981,50178,38243,43349,40235.67552,46899.28288,42687.61508,45035.82506,319,tdfp_arima,42724.19193,46947.39875,45398.22962,45398.22962,319,tdfp_arima,42717.62209,46947.00115,45391.82032,45396.85184,319,tdfp_arima
X320,85940,101360,79960,91531,77295.4062,91366.21386,81129.08361,85591.92659,320,tdfp_arima,82076.01157,91459.95015,86280.68726,86280.68726,320,tdfp_arima,82048.95451,91458.31269,86254.29135,86275.01305,320,tdfp_arima
X321,33027,40713,29783,37311,31356.46732,34735.89833,34257.02001,32614.13772,321,tdfp_arima,32296.69141,36344.45114,34474.78734,34474.78734,321,tdfp_arima,32292.90426,36331.82332,34478.4639,34460.28604,321,tdfp_arima
X322,27568,35388,23406,34002,22371.79868,33295.94464,24568.32867,31066.32216,322,tdfp_arima,23755.461,33330.10429,26128.38933,31316.31374,322,tdfp_arima,23751.45265,33329.86171,26124.47894,31315.47314,322,tdfp_arima
X323,41074,49606,41763,44899,38880.55087,48532.58962,40494.91995,46330.30635,323,tdfp_arima,40446.46723,48172.38155,42518.42308,46169.12161,323,tdfp_arima,40441.93143,48173.5082,42513.25083,46169.58654,323,tdfp_arima
X324,24034,35068,24296,36075,26640.67553,36617.41148,28464.58155,34861.08613,324,tdfp_arima,28288.3615,36654.97876,30272.04979,35141.61428,324,tdfp_arima,28283.46866,36654.68265,30267.2765,35140.58818,324,tdfp_arima
X325,30391,38863,30694,38371,33082.23018,39082.9098,34382.69286,37936.49386,325,tdfp_arima,35128.31668,39123.00654,36565.95437,38241.7699,325,tdfp_arima,35123.69152,39122.72663,36561.44223,38240.79995,325,tdfp_arima
X326,28786,36875,28094,34116,27066.45026,35745.46821,28711.07325,33879.18227,326,tdfp_arima,28156.55306,35480.16595,30145.74572,33761.31543,326,tdfp_arima,28154.28782,35480.72861,30143.16263,33761.54762,326,tdfp_arima
X327,40697,52559,38008,49725,41345.73914,47958.24233,44589.53926,45926.6991,327,tdfp_arima,42585.49167,50179.09653,44872.98903,48546.83567,327,tdfp_arima,42579.09063,50157.75293,44879.20316,48522.32553,327,tdfp_arima
X328,22636,28958,21909,26533,22022.63298,28021.08661,23199.51674,26900.98447,328,tdfp_arima,23384.69992,28049.83458,24672.65942,27117.45746,328,tdfp_arima,23383.25153,28049.74692,24671.24642,27117.15371,328,tdfp_arima
X329,34032,44918,31046,40781,34953.16519,42254.63016,37674.53993,39746.98483,329,tdfp_arima,37114.96623,42297.9809,40066.82995,40066.82995,329,tdfp_arima,37109.87149,42297.67257,40061.8597,40065.76152,329,tdfp_arima
X330,19390,27246,18709,22528,21662.50283,24990.62638,22724.81124,23974.88408,330,tdfp_arima,23002.29626,25016.26527,24167.81065,24167.81065,330,tdfp_arima,22999.9604,25016.1239,24165.53188,24167.3208,330,tdfp_arima
X331,30368,37076,29448,33874,27297.71065,35569.24071,28753.73526,34121.23071,331,tdfp_arima,28986.03327,35605.73263,30579.56443,34395.80523,331,tdfp_arima,28981.9743,35605.48699,30575.60465,34394.95401,331,tdfp_arima
X332,20017,22109,17914,21804,18162.0532,23633.62467,19190.35933,22391.1921,332,tdfp_arima,19285.34905,23657.87137,20408.92511,22571.37465,332,tdfp_arima,19283.84105,23657.7801,20407.45395,22571.05841,332,tdfp_arima
X333,55991,67790,51838,57994,47308.88901,64581.3543,50460.28019,61538.91214,333,tdfp_arima,50234.87311,64647.61092,53664.45004,62034.11752,333,tdfp_arima,50226.93184,64647.13032,53656.70282,62032.45213,333,tdfp_arima
X334,27467,32335,25589,28719,28584.69737,32513.61617,29973.71161,31581.34985,334,tdfp_arima,29735.94766,32272.30066,31471.47724,31471.47724,334,tdfp_arima,29733.30533,32272.95698,31468.46416,31471.74809,334,tdfp_arima
X335,75087,106781,73769,95719,83178.81033,106556.8228,91133.94126,100940.3618,335,tdfp_arima,87427.0439,106250.267,94944.4109,101735.0855,335,tdfp_arima,86749.21059,106330.2504,94635.57139,101600.1407,335,tdfp_arima
X336,69896,91442,69648,85158,66542.40235,87806.38272,70698.94886,83881.73548,336,tdfp_arima,70657.95051,87896.46684,75188.25093,84556.73418,336,tdfp_arima,70639.20858,87895.3326,75169.96698,84552.80376,336,tdfp_arima
X337,30124,34031,30954,32576,27963.29901,33070.59064,28665.67704,31903.11049,337,tdfp_arima,29089.52244,32825.14127,30098.08109,31792.11847,337,tdfp_arima,29087.37687,32825.67421,30095.63446,31792.33839,337,tdfp_arima
X338,35211,46347,34602,41344,32360.54673,43625.66913,35235.12344,41267.24596,338,tdfp_arima,34361.99819,43670.42647,37472.51332,41599.32466,338,tdfp_arima,34356.77355,43670.11028,37467.41635,41598.22899,338,tdfp_arima
X339,29115,35481,29615,32956,28245.90585,32074.38973,28954.42827,30962.03582,339,tdfp_arima,29992.87292,32107.29614,30793.00122,31211.1882,339,tdfp_arima,29988.19266,32107.0129,30788.43533,31210.20669,339,tdfp_arima
X340,35227,49903,31081,37940,30897.22447,42233.67931,35491.44504,37443.79972,340,tdfp_arima,32808.17164,42277.00855,37745.11104,37745.11104,340,tdfp_arima,32802.23795,42276.64945,37739.32235,37743.86667,340,tdfp_arima
X341,29237,37621,25625,31693,26472.36204,37124.65256,29621.0677,34761.83565,341,tdfp_arima,28109.63807,37162.74024,31501.97148,35041.56513,341,tdfp_arima,28107.04822,37162.5835,31499.44492,35041.022,341,tdfp_arima
X343,40769,50751,34567,43796,37593.41654,51993.42766,40388.24284,49478.38527,343,tdfp_arima,39107.49349,51607.53332,42406.41539,49306.24826,343,tdfp_arima,39101.61815,51608.99269,42399.71565,49306.85049,343,tdfp_arima
X344,44966,67460,47673,56881,40654.44155,62050.71303,44765.35569,57612.31195,344,tdfp_arima,43168.85802,62114.37337,47607.90437,58075.91986,344,tdfp_arima,43158.05739,62113.71973,47597.36766,58073.65483,344,tdfp_arima
X346,40410,47951,40031,42006,39678.91121,46683.88444,41916.27654,45222.77874,346,tdfp_arima,42132.99257,46731.77932,44577.91197,45586.68772,346,tdfp_arima,42128.57059,46731.51171,44573.59804,45585.76038,346,tdfp_arima
X347,28933,34384,28913,31585,27096.62784,31847.50963,28102.10294,30701.66607,347,tdfp_arima,28187.94605,31611.13795,29506.34558,30594.85391,347,tdfp_arima,28186.03023,31611.61382,29504.16095,30595.05028,347,tdfp_arima
X349,52107,55413,45485,44761,51780.94668,50973.13112,52996.70602,50455.11456,349,tdfp_arima,53333.59904,53333.59904,53333.59904,53333.59904,349,tdfp_arima,53326.17139,53308.83234,53340.8098,53305.15796,349,tdfp_arima
X350,35960,49605,35460,42868,33351.21781,45770.64216,35492.53452,43306.38135,350,tdfp_arima,34694.43997,45430.93322,37266.07191,43155.71695,350,tdfp_arima,34689.31267,45432.2068,37260.22517,43156.24251,350,tdfp_arima
X351,31513,42135,28745,38664,31653.11102,38160.66871,33410.62306,36786.88454,351,tdfp_arima,33610.80864,38199.81929,35532.15927,37082.90964,351,tdfp_arima,33606.56623,38199.56254,35528.02052,37082.01996,351,tdfp_arima
X352,37548,45989,33748,37552,35003.18034,41615.82198,37106.70454,39096.92043,352,tdfp_arima,36412.93539,41306.95005,38960.90089,38960.90089,352,tdfp_arima,36408.72808,41307.9951,38956.10324,38961.33215,352,tdfp_arima
X353,46325,47529,44182,44224,48113.33118,50420.5288,48268.5751,50019.47098,353,tdfp_arima,50570.64775,50275.47281,50286.76874,50413.28425,353,tdfp_arima,50510.34199,50282.5888,50259.29178,50401.27844,353,tdfp_arima
X354,43812,57249,40633,45878,43206.0281,54904.54886,45326.33431,52627.51335,354,tdfp_arima,44946.1533,54497.04822,47591.25987,52444.42041,354,tdfp_arima,44939.2946,54498.75186,47583.43879,52445.12344,354,tdfp_arima
X355,51882,60395,48212,53601,46729.33387,57285.4302,50078.18974,52832.94905,355,tdfp_arima,49619.47334,57344.20164,53258.09729,53258.09729,355,tdfp_arima,49609.22958,57343.58169,53248.10384,53255.94904,355,tdfp_arima
X356,37087,41469,34830,38435,33023.9684,38765.21025,33952.02006,37344.85169,356,tdfp_arima,34354.01058,38477.49552,35648.57901,37214.92766,356,tdfp_arima,34351.34675,38478.15719,35645.54141,37215.20071,356,tdfp_arima
X357,42303,54973,39230,49305,36208.44765,44280.34999,41679.19779,43971.93558,357,tdfp_arima,38447.88603,44325.77899,44325.77899,44325.77899,357,tdfp_arima,38432.73219,44324.8619,44310.99544,44322.60104,357,tdfp_arima
X358,50707,65568,46154,59156,49512.82153,63985.47944,53718.35013,60814.84055,358,tdfp_arima,52575.11555,64051.12473,57129.40368,61304.2193,358,tdfp_arima,52564.60371,64050.48857,57119.1487,61302.01483,358,tdfp_arima
X359,36161,42793,37042,38237,35753.66024,40805.00534,37757.73295,39782.86671,359,tdfp_arima,37193.6409,40502.15128,39644.46074,39644.46074,359,tdfp_arima,37190.39916,40502.95649,39640.76413,39644.79303,359,tdfp_arima
X360,36782,48373,33445,41100,31462.53541,45886.16547,34143.33308,43094.0307,360,tdfp_arima,33408.44621,45933.24194,36311.39553,43440.80959,360,tdfp_arima,33404.20187,45932.98508,36307.25489,43439.9195,360,tdfp_arima
X361,31513,43967,28071,43021,30336.62475,38284.08065,33378.30453,36173.99696,361,tdfp_arima,31246.26884,40056.94299,33590.48597,38237.73796,361,tdfp_arima,31241.7507,40041.87773,33594.87218,38220.43762,361,tdfp_arima
X362,49144,61228,48612,57435,49396.5353,58013.7513,53170.20566,55102.72174,362,tdfp_arima,50877.69105,60700.25684,53508.20159,58246.35407,362,tdfp_arima,50870.33303,60675.72228,53515.34476,58218.17957,362,tdfp_arima
X363,41661,50943,37779,41770,32676.51366,46529.63083,35335.86502,44040.06143,363,tdfp_arima,34697.5072,46577.36746,37579.65187,44394.45306,363,tdfp_arima,34693.95741,46577.15263,37576.18882,44393.70862,363,tdfp_arima
X364,28652,34528,28560,34036,27462.34666,30377.91767,28593.43342,30166.33426,364,tdfp_arima,29160.85177,30409.08361,30409.08361,30409.08361,364,tdfp_arima,29156.65355,30408.82954,30404.98798,30408.20319,364,tdfp_arima
X366,30998,40848,28354,40354,29329.97409,40671.91086,31198.19931,38472.56119,366,tdfp_arima,30511.24044,40370.04462,32757.15174,38338.71382,366,tdfp_arima,30506.29201,40371.27377,32751.50898,38339.22104,366,tdfp_arima
X367,29325,40327,23561,32483,23123.55467,37417.57245,26799.74816,34450.36252,367,tdfp_arima,24054.85713,37139.85986,28138.91304,34330.50852,367,tdfp_arima,24051.78932,37140.62188,28135.41477,34330.82297,367,tdfp_arima
X368,45278,71882,45969,74290,48257.95038,66604.95816,53364.88011,62785.59562,368,tdfp_arima,50201.54204,66110.61728,56031.48625,62567.16236,368,tdfp_arima,50187.84645,66114.01913,56015.86897,62568.56618,368,tdfp_arima
X369,35080,42214,35025,38575,31579.72184,41965.23546,33485.09196,39754.5931,369,tdfp_arima,32851.59691,41653.77019,35158.31884,39616.28549,369,tdfp_arima,32847.81762,41654.70893,35154.00926,39616.67288,369,tdfp_arima
X370,42008,53633,36349,45627,33613.38738,50381.2651,38641.2864,46653.45427,370,tdfp_arima,34967.16843,50007.3362,40572.16475,46491.14529,370,tdfp_arima,34962.28689,50008.54873,40566.59825,46491.64566,370,tdfp_arima
X371,34272,46429,31744,44437,32624.69242,44693.76945,35003.78437,42410.18171,371,tdfp_arima,33938.65373,44362.05304,36752.89926,42262.63522,371,tdfp_arima,33932.20559,44363.6547,36745.54634,42263.29617,371,tdfp_arima
X372,47066,60708,42484,53491,45212.42854,59394.24234,49555.71287,56246.63165,372,tdfp_arima,47033.36164,58953.41927,52031.97755,56050.94767,372,tdfp_arima,47025.99593,58955.24884,52023.57833,56051.70267,372,tdfp_arima
X373,24698,30502,24980,27054,24535.64059,29163.97548,25290.34555,28014.8272,373,tdfp_arima,25523.81489,28947.52095,26554.08662,27917.36265,373,tdfp_arima,25521.61616,28948.06709,26551.57938,27917.58802,373,tdfp_arima
X374,39771,46389,35100,41227,32254.01981,45776.98153,34766.83564,43390.97555,374,tdfp_arima,34248.88274,45823.94598,36974.48978,43740.14397,374,tdfp_arima,34245.41444,45823.73609,36971.10624,43739.41662,374,tdfp_arima
X375,47215,64001,41928,63205,40263.39157,61240.43685,44484.54146,56816.72551,375,tdfp_arima,42753.62218,61303.26589,47309.25876,57273.93132,375,tdfp_arima,42737.43898,61302.2865,47293.47102,57270.5375,375,tdfp_arima
X376,41785,57048,37692,49780,38904.81979,53919.22333,42111.80725,51042.4521,376,tdfp_arima,41311.02476,53974.54124,44785.85865,51453.19216,376,tdfp_arima,41299.10593,53973.81993,44774.23106,51450.69263,376,tdfp_arima
X377,45047,56245,41115,53022,42433.14273,52663.73512,44422.8859,49587.48812,377,tdfp_arima,45057.5692,52717.76498,47243.68814,49986.52004,377,tdfp_arima,45046.15293,52717.07408,47232.55084,49984.12591,377,tdfp_arima
X378,36684,44634,34124,40078,36523.50856,44061.21756,37734.72818,41920.3487,378,tdfp_arima,38782.43299,44106.42174,40130.84009,42257.68294,378,tdfp_arima,38775.76172,44106.018,40124.33185,42256.28389,378,tdfp_arima
X379,20733,27639,21747,23876,16991.34766,26049.40614,19682.36233,24042.52784,379,tdfp_arima,17675.67514,25856.06788,20665.87635,23958.88305,379,tdfp_arima,17674.44032,25856.3746,20664.46827,23959.00962,379,tdfp_arima
X380,75809,91148,68163,80846,71259.06385,91247.85929,75287.11429,86807.76943,380,tdfp_arima,75666.33047,91341.47415,80067.7596,87506.31401,380,tdfp_arima,75645.43044,91340.20931,80047.37029,87501.93101,380,tdfp_arima
X381,50888,58262,45384,54356,45320.87702,57405.09464,47673.08484,54736.85864,381,tdfp_arima,48123.90554,57463.98885,50700.27099,55177.32769,381,tdfp_arima,48117.26486,57463.58696,50693.79258,55175.93506,381,tdfp_arima
X382,38794,53599,37742,50634,38003.42459,50118.56484,41610.96408,47075.32157,382,tdfp_arima,39142.95777,52439.45943,41875.47944,49760.98751,382,tdfp_arima,39134.68926,52411.88898,41883.50651,49729.32671,382,tdfp_arima
X383,93876,112228,95110,96341,87164.3522,105840.9813,90088.65957,102660.0652,383,tdfp_arima,92555.33714,105949.5678,95809.18601,103486.1736,383,tdfp_arima,92537.0961,105948.4639,95791.39071,103482.3483,383,tdfp_arima
X384,51967,61325,45295,59125,48244.76914,57418.56902,50089.96522,55579.21326,384,tdfp_arima,51228.63603,57477.47705,53270.62049,56026.46076,384,tdfp_arima,51215.66114,57476.69183,53257.96266,56023.73976,384,tdfp_arima
X386,35359,46356,32571,44769,32995.5571,47491.17318,36589.74089,44507.64977,386,tdfp_arima,34324.45501,47138.69449,38418.10493,44352.80612,386,tdfp_arima,34315.29148,47140.97062,38407.65562,44353.7454,386,tdfp_arima
X387,46585,65160,44961,62453,46887.21354,54717.03113,50794.0125,51656.29942,387,tdfp_arima,48293.12724,57250.87188,51116.90329,54603.31198,387,tdfp_arima,48275.96469,57193.64519,51133.56469,54537.59515,387,tdfp_arima
X388,50729,68035,47085,55780,51071.71252,66119.81673,55347.67235,62844.34194,388,tdfp_arima,54230.42162,66187.65172,58862.18599,63350.05214,388,tdfp_arima,54220.29398,66187.03881,58852.30582,63347.92824,388,tdfp_arima
X389,62933,75435,55840,62434,55416.56453,68589.49033,57915.6587,65592.99874,389,tdfp_arima,58843.99624,68659.85905,61593.23653,66120.82747,389,tdfp_arima,58834.14828,68659.26307,61583.62921,66118.76222,389,tdfp_arima
X390,61876,81453,56114,70620,50266.83043,77357.7437,55302.14018,72643.55979,390,tdfp_arima,53375.75878,77437.10814,58813.76258,73228.12458,390,tdfp_arima,53362.72563,77436.31939,58801.0479,73225.39136,390,tdfp_arima
X391,26858,33595,24295,34381,27753.11034,35690.45678,28998.40193,34380.26473,391,tdfp_arima,29469.59874,35727.07306,30839.76716,34656.92369,391,tdfp_arima,29464.40532,35726.75876,30834.70064,34655.83457,391,tdfp_arima
X392,35814,46682,33150,38965,36569.27401,48193.78206,38749.16715,45850.74559,392,tdfp_arima,38831.02896,48243.22601,41209.69477,46219.70784,392,tdfp_arima,38824.78234,48242.84797,41203.60079,46218.39784,392,tdfp_arima
X393,31370,38536,29027,37058,29307.02909,36329.87473,31570.54445,34790.89309,393,tdfp_arima,30487.37133,36060.23501,33148.10271,34669.85436,393,tdfp_arima,30483.60609,36061.17026,33143.80915,34670.24031,393,tdfp_arima
X394,46067,57954,45206,53041,42852.06271,55929.66548,45208.28512,53283.15588,394,tdfp_arima,44577.93193,55514.55644,47467.31185,53097.78194,394,tdfp_arima,44570.85936,55516.3132,47459.24689,53098.50689,394,tdfp_arima
X395,21143,24653,18044,22115,20091.7355,25078.96004,20775.84077,23795.51458,395,tdfp_arima,21334.37932,25104.68955,22095.0828,23986.99777,395,tdfp_arima,21333.14818,25104.61505,22093.88174,23986.73958,395,tdfp_arima
X396,54606,68568,50312,66555,50290.21314,63503.66662,55643.56307,58704.46891,396,tdfp_arima,53400.58768,63568.8176,59176.86543,59176.86543,396,tdfp_arima,53384.40279,63567.83811,59161.07604,59173.47126,396,tdfp_arima
X397,31002,40737,26382,37173,29574.15101,38027.56628,31345.09047,36303.21045,397,tdfp_arima,31403.26806,38066.5803,33335.46772,36595.34341,397,tdfp_arima,31398.14972,38066.27054,33330.47445,36594.27003,397,tdfp_arima
X398,26979,40026,27475,35757,27449.27915,34924.01165,30248.69934,32880.78667,398,tdfp_arima,28272.34614,36541.27564,30440.9863,34756.64871,398,tdfp_arima,28268.26055,36527.65267,30444.95259,34741.00464,398,tdfp_arima
X400,43359,56915,42205,55030,43377.32759,58098.74355,46221.05075,55335.75761,400,tdfp_arima,46060.15048,58158.3494,49156.0344,55781.04602,400,tdfp_arima,46048.50138,58157.64441,49144.66995,55778.60305,400,tdfp_arima
X401,38519,49074,35102,47446,36272.91566,47564.18892,38766.39038,44959.68355,401,tdfp_arima,38516.34129,47612.98695,41228.01165,45321.4754,401,tdfp_arima,38509.1269,47612.55034,41220.97355,45319.96245,401,tdfp_arima
X402,32272,38727,28741,38141,31717.74414,33151.00252,33676.56805,32061.52281,402,tdfp_arima,32668.80111,34686.16185,33890.64552,33890.64552,402,tdfp_arima,32664.00246,34670.16126,33895.30405,33872.27108,402,tdfp_arima
X403,41690,50659,37655,43301,37700.41156,45988.12722,39013.25643,44079.64217,403,tdfp_arima,40032.12568,46035.3083,41490.55342,44434.3523,403,tdfp_arima,40027.7231,46035.04186,41486.25842,44433.42903,403,tdfp_arima
X404,26841,34237,26741,34553,26116.33879,31020.74677,26125.19575,29868.1887,404,tdfp_arima,27731.59532,31052.57221,27784.11568,30108.53887,404,tdfp_arima,27726.06526,31052.23754,27778.72075,30107.37914,404,tdfp_arima
